trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.05, 'e': 0.01831563888873418}",25,0,33.2282283693965,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.017422374639493515}",25,14,17.102902953349318,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.016572675401761237}",20,5,23.003761144644802,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.015764416484854486}",25,17,14.71900663632964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.05, 'e': 0.014995576820477703}",25,0,33.67474064037505,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.014264233908999256}",25,17,15.964780028992758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.013568559012200934}",25,0,41.025867440004426,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.05, 'e': 0.012906812580479862}",20,0,19.313458545202224,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.05, 'e': 0.012277339903068436}",30,17,20.096166217542724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.05, 'e': 0.011678566970395442}",20,12,15.249724696030555,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.011108996538242306}",25,8,29.71023538437696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.010567204383852655}",25,20,10.79961504823068,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.010051835744633576}",25,20,10.100319418224318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.009561601930543505}",25,8,26.860079551211882,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,16.045816401526263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,17.42780657217926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,16.946119043344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,25.250624598670154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,37.37008876986577,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,25,18.553693853129204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,20.166145897746905,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,14,27.8349193631714,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,22.056460624891578,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,12,21.531116494564987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
